Project Name,Sector,Sub-Sector,Location,Status,Type of PPP,Project Brief,Project Capacity,Nodal Authority,Concession Duration (In Months),Update Date,Project Authority Name,Project Concessionaire Name,Bid Parameter,Concession Agreement Signing Date,Financial Closure Date,Appointed Date,Construction Completion Date(As per agreement),Construction Completion Date(Actual),Date of Start Of Commercial Operation (As per agreement),Date of Start Of Commercial Operation (As actual),Concession End Date(As per agreement),Concession End Date(Actual),Revised Concession End Date,Type of Grant,Grant Amount in Rs Crore,Project Cost(As per agreement) in Rs Crore,Project Cost(Revised) in Rs Crore,Project Cost(Actual) in Rs Crore,Any Other Information
Six laning of Dhankuni-Kharagpur section in length of 111.4 km on NH-6 under NHDP-V,Transport,Roads and bridges,West Bengal,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Toll,The project involves six laning of road from 17.600 km to 129.00 km of Dhankuni-Kharagpur section on NH-6 in West Bengal under NHDP-V.,111.4 KM (Kilometer),Centre,300,09-Nov-2019,National Highways Authority of India (NHAI),Ashoka Dhankuni Kharagpur Tollway Limited,Highest premium,20-Jun-2011,15-Dec-2011,01-Apr-2012,28-Sep-2014,Not Available,28-Sep-2014,Not Available,19-Jun-2036,Not Applicable,Not Available,,0.00,"1,396.20",Not Available,Not Available,Not Available
"Six laning of Etawah Chakeri (Kanpur) section of NH 2  under NHDP Phase V, length 160.21 km",Transport,Roads and bridges,Uttar Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Toll,The project involves six laning of Etawah-Chakeri (Kanpur) section of NH-2 from 323.48 to 483.69 km under NHDP-V.,160.2 KM (Kilometer),Centre,192,09-Nov-2019,National Highways Authority of India (NHAI),Etawah Chakeri (Kanpur) Highway Private Limited,Highest premium,05-Mar-2012,Not Available,13-Mar-2013,30-Sep-2015,Not Available,30-Sep-2015,Not Available,04-Mar-2028,Not Applicable,Not Available,,0.00,"1,573.00",Not Available,Not Available,This is a PPPAC Recommended Project.
Six Laning of Gurgaon-Kotputli-Jaipur Section of NH-8 in Haryana/Rajasthan on BOT (Toll) basis following by DBFO pattern.,Transport,Roads and bridges,Multi State/ Centre,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Toll,The project involves six laning of Gurgaon Kotputli-Jaipur section of NH-8 from 42.7 km to 273.0 km in Haryana and Rajasthan under NHDP-V.,225.6 KM (Kilometer),Centre,144,09-Nov-2019,National Highways Authority of India (NHAI),Pink City Expressway Private Limited,Revenue Share,06-Jun-2008,03-Apr-2009,03-Apr-2009,01-Oct-2011,Not Available,01-Oct-2011,Not Available,05-Jun-2020,Not Applicable,Not Available,,0.00,"1,673.70","1,896.00",Not Available,This is a PPPAC Recommended Project.
Six Laning of Handia Varanasi Section of NH-2 from KM 713.146 to KM 785.544 in Uttar Pradesh on Hybrid Annuity Mode,Transport,Roads and bridges,Uttar Pradesh,Operation and Maintenance Stage,Hybrid Annuity Mode (HAM),The project envisages six laning of Handia-Varanasi section of NH-2 from 713.1 km to 785.5 km in Varanasi district under NHDP-V on Hybrid Annuity Mode (HAM),72.4 KM (Kilometer),Centre,180,09-Nov-2019,National Highways Authority of India (NHAI),G R Infraprojects Limited,Lowest Assessed Bid Price,31-Mar-2017,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,30-Mar-2032,Not Applicable,Not Available,,0.00,"2,356.16",Not Available,Not Available,This is a PPPAC Recommended Project.
Six laning of Indore-Dewas section of NH 3 from Km 577.55 to km 610.00 and Km 0.00 to Km 12.60 inMP under NHDP V on BOT basis,Transport,Roads and bridges,Madhya Pradesh,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),This project involves Six laning of Indore-Dewas section of NH 3 from Km 577.55 to km 610.00 and Km 0.00 to Km 12.60 in the State of MP under NHDP V on BOT basis,45.0 KM (Kilometer),Centre,Not Available,09-Nov-2019,Ministry of Road Transport and Highways,Not Available,Not Available,Not Available,Not Available,01-Sep-2011,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,,0.00,410.00,Not Available,Not Available,This is a PPPAC Recommended Project.
Six Laning of Kharar-Ludhiana Section of NH-95 (New NH-05) from Kharar Km 10.185 to Samrala Chowk Ludhiana Km 86.199 on HAM Mode,Transport,Roads and bridges,Multi State/ Centre,Operation and Maintenance Stage,Hybrid Annuity Mode (HAM),The project involves six laning of Kharar-Ludhiana section of NH-95 and NH-21 starting from Sector-39 round about at Chandigarh 10.18 km to Samrala Chowk-Ludhiana 86.19 km of NH-95  under NHDP-V on Hybrid Annuity Mode (HAM),86.19 KM (Kilometer),Centre,180,09-Nov-2019,National Highways Authority of India (NHAI),Ashoka Concessions Limited,Lowest Assessed Bid Price,10-Aug-2016,29-Mar-2017,29-Mar-2017,30-Sep-2019,Not Available,30-Sep-2019,Not Available,09-Aug-2031,Not Applicable,Not Available,,0.00,"1,388.34",Not Available,Not Available,"This is a PPPAC Recommended Project. Source :- Project Director, NHAI"
Six laning of Krishnagiri-Walahjpet section of NH 46 from Km 0 to km 148.30 in the State of Tamil Nadu under NHDP V on BOT basis,Transport,Roads and bridges,Tamil Nadu,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),The project involves six laning of Krishnagiri-Walajapet section from 0.00 km to 148.30 km of NH-4 and NH-46 under NHDP-V.,148.3 KM (Kilometer),Centre,360,09-Nov-2019,National Highways Authority of India (NHAI),L&T Krishnagiri Walajahpet Tollway Limited,Highest premium,13-May-2010,Not Available,07-Nov-2011,04-Dec-2013,Not Available,04-Dec-2013,Not Available,12-May-2040,Not Applicable,Not Available,,0.00,"1,489.55",Not Available,Not Available,This is a PPPAC Recommended Project.
Six laning of NH-8 in length of 93.2 k m of Shamlaji-Chiloda section*,Transport,Roads and bridges,Gujarat,Pre-construction Stage,Hybrid Annuity Mode (HAM),The project envisages six laning of NH-8 from 401.2 km to 494.4 km (Package-VI) of Shamlaji-Chiloda section under NHDP Phase-V on Hybrid Annuity Mode (HAM).,93.2 KM (Kilometer),Centre,180,09-Nov-2019,National Highways Authority of India (NHAI),Atlanta Ltd-Indian,Lowest Assessed Bid Price,25-Jan-2017,Not Available,Not Available,30-Sep-2019,Not Applicable,30-Sep-2019,Not Applicable,24-Jan-2032,Not Applicable,Not Available,,0.00,"1,251.00",Not Available,Not Applicable,"(Source: Chief Financial Officer, Sabarkantha Annuity Pvt. Ltd.). Updated status for the project is not available."
Six Laning of Panipat - Jalandhar Section of NH-1 (291 Km) in Haryana and Punjab.,Transport,Roads and bridges,Multi State/ Centre,Operation and Maintenance Stage,Build-Operate-Transfer (BOT) Toll,The project involves six-laning of Panipat-Jullandhar section on NH-1 under NHDP -V.,291.0 KM (Kilometer),Centre,180,09-Nov-2019,National Highways Authority of India (NHAI),Isolux Soma NH1 Tollway Private Limited,Minimum grant,09-May-2008,Not Available,11-May-2009,01-Nov-2011,Not Available,01-Nov-2011,Not Available,08-May-2023,Not Applicable,Not Available,,0.00,"2,288.00","2,748.00",Not Available,"This is a PPPAC Recommended Project. Soma Enterprise Ltd-Spain - Indian, LOUIS BERGER GROUP-USA consultant."
Six laning of Udaipur bypass in length of 23.9 km under NHDP-V,Transport,Roads and bridges,Rajasthan,Operation and Maintenance Stage,Hybrid Annuity Mode (HAM),"The project envisages six laning of Udaipur bypass , connection between NH-76 at existing 118.50 km at Debari to NH-8 287.40 km at Kaya village under NHDP-V on Hybrid Annuity Mode (HAM).",23.88 KM (Kilometer),Centre,180,09-Nov-2019,National Highways Authority of India (NHAI),Sadbhav Infrastructure Project Limited,Lowest Assessed Bid Price,29-Apr-2017,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,28-Apr-2032,Not Applicable,Not Available,,0.00,779.00,891.00,Not Available,Not Available
Six Laning of Vadakkancherry to Thrissur Section (Package No.NS-2/BOT/KL-3,Transport,Roads and bridges,Kerala,Operation and Maintenance Stage,Build-Operate-Transfer (BOT),"The project involves six laning of Vadakancherry - Thrissur section from 240.000 km to 270.000 km of NH-47 in Thrissur district of Kerala on build, operate and transfer (BOT) pattern under NHDP Phase-II.",30.0 KM (Kilometer),Centre,204,09-Nov-2019,National Highways Authority of India (NHAI),Thrissur Expressway Private Limited,Minimum grant,24-Aug-2009,Not Available,01-Feb-2010,01-Oct-2013,Not Available,Not Available,Not Available,23-Aug-2026,Not Applicable,Not Available,,244.00,514.05,910.00,Not Available,"This is a PPPAC Recommended Project. KMC Construction Ltd,- CR18G Consortium with Indian-China"
Six-laning of Vijayawada-Gundugolanu section of NH-5 section from km 1076.48 to km 1022.48  on BOT (Toll) basis,Transport,Roads and bridges,Andhra Pradesh,Operation and Maintenance Stage,Design-Build-Finance-Operate-Transfer (DBFOT) Toll,Six laning of Gundugolanu - Vijayawada section [NH-5] from 1076.48 km to 1022.48 km including  six-lane Hanuman junction bypass with 17 km and  four-lane Vijayawada Bypass of 47.88 km in Andhra Pradesh under NHDP-V.,103.5 KM (Kilometer),Centre,360,09-Nov-2019,National Highways Authority of India (NHAI),Gammon Infrastructure Projects Ltd,Not Available,21-Mar-2012,10-Apr-2013,01-Sep-2014,28-Feb-2017,Not Available,28-Feb-2017,Not Available,31-Aug-2044,Not Applicable,Not Available,,0.00,"1,684.00",Not Available,Not Available,This is a PPPAC Recommended Project.
Solid Waste Management (700 TPD) at Asansol UA *,Water Sanitation,Solid waste management,West Bengal,Under Construction,Build-Own-Operate-Transfer (BOOT),Solid Waste Management (700 TPD) at Asansol UA,700.0 TPD (Tonne per day),State,300,09-Nov-2019,Asansol Durgapur Development Authority,Consortium of Gujarat Enviro Protection Infrastructure Ltd. and Hanjer Biotech Ltd.,Management fee,23-Dec-2008,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,,0.00,44.00,Not Available,Not Applicable,Updated status for the project is not available
Solid Waste Management (Allahabad) *,Water Sanitation,Solid waste management,Uttar Pradesh,Under Construction,Build-Own-Operate-Transfer (BOOT),Solid Waste Management in Allahabad,Not Available,State,Not Available,09-Nov-2019,Allahabad Municipal Corporation,Not Available,Tariff or User charge,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,,0.00,30.41,Not Available,Not Applicable,Updated status for the project is not available
Solid Waste Management (Dehradun) *,Water Sanitation,Solid waste management,Uttarakhand,Under Construction,Not Available,Integrated Solid Waste Management - Dehradun,Not Available,State,Not Available,09-Nov-2019,Dehradun Nagar Nigam,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,,0.00,24.60,Not Available,Not Applicable,Updated status for the project is not available
Solid Waste Management (Lucknow) *,Water Sanitation,Solid waste management,Uttar Pradesh,Under Construction,Build-Own-Operate-Transfer (BOOT),Solid Waste Management in  Lucknow,Not Available,State,Not Available,09-Nov-2019,Lucknow Municipal Corporation,Not Available,Tariff or User charge,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,,0.00,42.92,Not Available,Not Applicable,Updated status for the project is not available
Solid Waste Management (Meerut) *,Water Sanitation,Solid waste management,Uttar Pradesh,Under Construction,Build-Own-Operate-Transfer (BOOT),Solid Waste Management in Meerut,Not Available,State,Not Available,09-Nov-2019,Meerut Nagar Nigam,Not Available,Tariff or User charge,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,,0.00,22.59,Not Available,Not Applicable,Updated status for the project is not available
Solid Waste Management (PCMC) *,Water Sanitation,Solid waste management,Maharashtra,Under Construction,Not Available,Solid Waste Management at PCMC,Not Available,State,Not Available,09-Nov-2019,Pimpri Chinchwad Municipal Corporation,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,,0.00,70.44,Not Available,Not Applicable,Updated status for the project is not available
Solid Waste Management (Shahdara) Project *,Water Sanitation,Solid waste management,Delhi (UT),Under Construction,Not Available,"The project involves Collection, Transportation, Processing and Management of Construction & Demolition (C&D) waste in Shahdra (North) and Shahdra (South). It includes utilizing in-house staff to provide solid waste collection, street sweeping and disposal services to a population of around 4 million in Shahdara. EDMC is responsible for collection of C&D Waste dumped at various locations (roadsides, waste storage depots) and transporting the same to Ghazipur landfill for disposal",500.0 TPD (Tonne per day),State,188,09-Nov-2019,East Delhi Municipal Corporation,IL&FS Environmental Infrastructure and Services Ltd.,Concession Duration,21-Mar-2013,31-Mar-2014,01-Jul-2014,Not Available,Not Applicable,Not Available,Not Applicable,20-Nov-2028,Not Applicable,Not Available,,0.00,12.00,18.00,Not Applicable,Updated status for the project is not available
Solid Waste Management (Varanasi) *,Water Sanitation,Solid waste management,Uttar Pradesh,Under Construction,Design-Build-Own-Operate-Transfer (DBOOT),The project involves development of integrated solid waste management facilities for Varanasi Municipal Board.,600.0 TPD (Tonne per day),State,360,09-Nov-2019,Uttar Pradesh Jal Nigam,A2Z Waste Management Limited,Tariff or User charge,17-Apr-2010,Not Available,01-May-2010,25-Dec-2010,Not Applicable,25-Dec-2010,Not Applicable,16-Apr-2040,Not Applicable,Not Available,Construction Grant,27.73,46.45,68.80,Not Applicable,Updated status for the project is not available
Solid Waste Management Project (Kanjur) *,Water Sanitation,Solid waste management,Maharashtra,Under Construction,Design-Build-Finance-Operate-Transfer (DBFOT),"The project involved Design, Construction, Operation & Maintenance of Integrated Waste Management facility on Design, Build, Own, Operate and Transfer (DBOOT) basis at Kanjur Village, Mumbai. Compost plant of 1000 TPD.   Bio-reactor plant of 3000 TPD upto 6500 TPD in 65.96 Ha.",1000.0 TPD (Tonne per day),State,300,09-Nov-2019,Municipal Corporation of Greater Mumbai,Antony Lara Enviro Solutions Pvt. Ltd.,Not Available,31-Oct-2012,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,31-Oct-2037,Not Applicable,Not Available,,0.00,"4,116.65",Not Available,Not Applicable,Updated status for the project is not available
Sport Complex-cum-Commercial Complex (Mouje-Navsari) *,Social and Commercial Infrastructure,Tourism,Maharashtra,Under Construction,Build-Operate-Transfer (BOT),"The project involves construction of sport complex and commercial complex at, Amaravati. The project includes Football ground, Table tennis hall, Badminton hall, Administrative building, Club house, Multipurpose hall, Players rest room.",4.1 Acres,State,390,09-Nov-2019,Amravati Municipal Corporation,S Navin Chordiya and Ashtavinayaka Constructions,Lease Rent,09-Apr-2015,Not Available,Not Available,05-Mar-2017,Not Applicable,06-Mar-2017,Not Applicable,28-Oct-2047,Not Applicable,Not Available,,0.00,12.37,Not Available,Not Applicable,The project involves construction of sport complex and commercial complex. Updated status for the project is not available
"Sports City at Village Satgarhi, Bhopal *",Social and Commercial Infrastructure,Tourism,Madhya Pradesh,Not Available,Not Available,"Construction of sports city at village Satgarhi, Bhopal",Not Available,State,Not Available,09-Nov-2019,"Directorate of Institutional Finance, Govt. of Madhya Pradesh",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0.00,900.00,Not Available,Not Available,"Data Captured from Directorate of Institutional Finance, Govt. of Madhya Pradesh, Bhopal PPP cell website, 15-11-2018. Updated status for the project is not available"
Sports City cum International Convention Centre cum Star Hotel cum Shopping Complex cum Residential Complex *,Social and Commercial Infrastructure,"Common infrastructure for industrial parks, SEZ",Karnataka,Under Construction,Build-Operate-Transfer (BOT),Covering 172 acres (50 acre for Sports City and 122 Acre for? Real Estate Development including a 5 star hotel and minimum 9 hole golf course),172.0 Acres,State,1188,09-Nov-2019,"Food, Civil Supplies and Consumer Affairs Department, Karnatak","M/s Essel Infraprojects, Mumbai (Zee TV Group)",Not Available,10-Sep-2008,Not Available,Not Available,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,Not Applicable,Not Available,,0.00,900.00,Not Available,Not Applicable,Updated status for the project is not available
